date,open,high,low,close,volume,outstanding_share,turnover
2010/11/9,333.6419581,340.7914286,328.7354587,336.8662291,10157534,1011600000,0.010041058
2010/11/10,336.445672,342.7540284,325.7915591,326.4924876,10456486,1011600000,0.010336582
2010/11/11,326.0719305,330.8382442,319.9037598,320.4645026,8941101,1011600000,0.008838574
2010/11/12,320.1841312,324.9504449,294.1095916,294.5301487,12648045,1011600000,0.01250301
2010/11/15,294.1095916,314.716889,294.1095916,311.492618,8523777,1011600000,0.008426035
2010/11/16,312.894475,332.3802868,312.894475,313.8757749,16868152,1011600000,0.016674725
2010/11/17,311.9131751,326.3523019,301.3992479,305.7450044,8131200,1011600000,0.00803796
2010/11/19,314.0159606,328.0345302,308.4085327,326.3523019,9283840,1011600000,0.009177382
2010/11/22,329.4363872,349.0623847,323.969145,342.473657,14502455,1011600000,0.014336156
2010/11/23,344.4362567,350.0436846,333.6419581,348.2212705,13178551,1011600000,0.013027433
2010/11/24,343.4549569,357.0529694,339.249386,355.6511125,12288651,1011600000,0.012147737
2010/11/25,355.6511125,366.8659682,347.8007134,348.5016419,7911895,1011600000,0.007821169
2010/11/26,350.1838703,354.6698126,346.3988565,351.5857273,5226377,1011600000,0.005166446
2010/11/29,350.4642417,356.0716696,337.1466005,355.9314839,7572264,1011600000,0.007485433
2010/11/30,354.6698126,364.3426257,337.847529,348.922199,9004729,1011600000,0.008901472
2010/12/1,348.922199,350.4642417,335.3241864,342.1932856,4657973,1011600000,0.00460456
2010/12/2,345.4175566,347.3801564,338.5484575,344.5764424,3977910,1011600000,0.003932295
2010/12/3,344.5764424,353.2679556,342.0530999,345.9782994,3095467,1011600000,0.003059971
2010/12/6,347.6605278,350.4642417,332.3802868,335.7447435,4465328,1011600000,0.004414124
2010/12/7,336.3054863,336.5858577,320.744874,335.3241864,3853426,1011600000,0.003809239
2010/12/8,339.669943,353.1277699,334.623258,345.9782994,6764411,1011600000,0.006686844
2010/12/9,342.7540284,348.5016419,339.1092003,343.3147712,3433579,1011600000,0.003394206
2010/12/10,343.4549569,355.2305554,337.847529,353.6885127,5163358,1011600000,0.00510415
2010/12/13,361.8192831,374.2958101,356.0716696,372.8939532,12103505,1011600000,0.011964714
2010/12/14,371.4920962,376.2584099,365.6042969,373.4546959,5855264,1011600000,0.005788122
