,time,O,H,L,C,volume,outstanding_share,turnover,diff,up,down,avg_up,avg_down,rsi,lowest,highest,RSV,K,D,J,predict,5d,25d,s-l,signal,market,strategy
2447,2012/8/24,193.16752830000001,193.3384731,188.21013159999998,189.4067446,3917517,1213920000,0.003227162,-4.444562599999999,0.0,-4.444562599999999,1.9088826330000002,1.339066917,58.77192992,182.0561218,194.36414130000003,59.72222257,55.66756139,48.21148062,70.57972293,,190.0563345199998,190.24095481600006,-0.1846202960002472,-1,-0.02292768959981506,0.02292768959981506
2448,2012/8/27,188.21013159999998,188.21013159999998,174.36360969999998,177.4406145,9051093,1213920000,0.007456086999999999,-11.966130099999999,0.0,-11.966130099999999,1.8519010669999998,3.3334219330000003,35.71428562,174.36360969999998,194.36414130000003,15.38461508,42.23991262,46.22095795,34.27782195,,188.3468873599998,189.90590317200008,-1.5590158120002684,-1,-0.06317689544409177,0.06317689544409177
2449,2012/8/28,177.4406145,179.15006169999998,174.7054991,176.41494619999997,5009768,1213920000,0.0041269340000000005,-1.0256683000000002,0.0,-1.0256683000000002,1.8519010669999998,3.447385083,34.94623642,174.36360969999998,194.36414130000003,10.25640988,31.57874504,41.34022031,12.05579449,,185.20150459999982,189.41358239200005,-4.21207779200023,-1,-0.005780346866416153,0.005780346866416153
2450,2012/8/29,176.07305680000002,176.41494619999997,170.0899918,171.4575495,5420936,1213920000,0.004465645,-4.9573967,0.0,-4.9573967,0.8262327829999999,4.273617867,16.20111725,170.0899918,194.36414130000003,5.633802741,22.93043094,35.20362386,-1.61595489,,181.71423239999982,188.84604593600005,-7.131813536000237,-1,-0.028100774944430307,0.028100774944430307
2451,2012/8/30,169.23526819999998,171.62849419999998,162.22653490000002,166.50015269999997,5882203,1213920000,0.004845627,-4.9573968,0.0,-4.9573968,0.8262327829999999,4.55852575,15.3439152,162.22653490000002,194.36414130000003,13.29787212,19.719578,30.04227524,-0.925816477,,176.2440014999998,187.95029562400006,-11.706294124000266,-1,-0.028913260538580343,0.028913260538580343
2452,2012/8/31,166.6710975,171.4575495,165.3035397,167.6967658,5203275,1213920000,0.004286341,1.1966131000000002,1.1966131000000002,0.0,0.19943551699999998,4.55852575,4.1916170710000005,162.22653490000002,194.36414130000003,17.02127667,18.82014422,26.3015649,3.8573028689999997,,171.9020057399998,186.9724918560001,-15.070486116000296,-1,0.007186858874274282,-0.007186858874274282
2453,2012/9/3,169.5771576,172.1413284,166.6710975,171.62849419999998,4883244,1213920000,0.004022707,3.9317284,3.9317284,0.0,0.854723583,3.817765317,18.29268301,162.22653490000002,194.36414130000003,29.25531909,22.29853584,24.96722188,16.96116377,,170.73958167999976,186.09041712400008,-15.350835444000325,-1,0.023445463490268326,-0.023445463490268326
2454,2012/9/4,171.62849419999998,172.9960519,165.8163739,167.6967658,5555568,1213920000,0.004576552,-3.9317284,0.0,-3.9317284,0.854723583,2.478698367,25.64102583,162.22653490000002,194.36414130000003,17.02127667,20.53944945,23.49129774,14.63575288,,168.99594559999977,185.16731566400009,-16.171370064000314,-1,-0.022908366226288113,0.022908366226288113
2455,2012/9/5,166.50015269999997,169.7481023,165.8163739,167.8677105,3280204,1213920000,0.002702158,0.1709447,0.1709447,0.0,0.883214367,2.30775365,27.67857158,162.22653490000002,193.3384731,18.13186811,19.73692234,22.23983927,14.73108847,,168.27797779999975,184.2920787240001,-16.01410092400036,-1,0.0010193679000574107,-0.0010193679000574107
2456,2012/9/6,168.89337880000002,171.4575495,167.6967658,170.9447153,3291161,1213920000,0.002711184,3.0770048,3.0770048,0.0,1.3960485,1.481520867,48.51485132,162.22653490000002,188.21013159999998,33.5526313,24.34215866,22.9406124,27.14525118,,169.16689031999977,183.9091625600001,-14.742272240000347,-1,0.018329938442807503,-0.018329938442807503
2457,2012/9/7,173.1669966,184.1074584,173.1669966,180.3466747,12074584,1213920000,0.009946771,9.401959399999999,9.401959399999999,0.0,2.9630417330000003,0.6552880670000001,81.88976398,162.22653490000002,184.1074584,82.81250012,43.83227248,29.90449909,71.68781925,,171.69687209999978,183.6971911120001,-12.000319012000318,-1,0.05500000034221575,-0.05500000034221575
2458,2012/9/10,180.85950880000001,189.23579990000002,178.80817230000002,184.7912373,11457956,1213920000,0.009438806999999999,4.444562599999999,4.444562599999999,0.0,3.50436665,0.6552880670000001,84.24657547,162.22653490000002,189.23579990000002,83.54430378,57.06961625,38.95953814,93.28977245,,174.32942071999977,183.38265283600012,-9.053232116000345,-1,0.024644549767237844,-0.024644549767237844
2459,2012/9/11,182.56895600000001,182.56895600000001,179.15006169999998,180.68856409999998,7273449,1213920000,0.0059917040000000005,-4.102673200000001,0.0,-4.102673200000001,2.8490785830000003,1.339066933,68.0272109,162.22653490000002,189.23579990000002,68.35443023,60.83122091,46.25009907,89.99346459,,176.92778037999977,182.73306291600014,-5.805282536000362,-1,-0.02220166529508938,0.02220166529508938
2460,2012/9/12,182.91084540000003,184.4493479,180.0047853,183.765569,5892198,1213920000,0.00485386,3.0770049,3.0770049,0.0,3.361912733,0.683778867,83.09859143,165.3035397,189.23579990000002,77.14285715,66.26843299,52.92287704,92.95954489,,180.10735207999977,182.20655319200014,-2.0992011120003724,-1,0.017029328421122925,-0.017029328421122925
2461,2012/9/13,183.5946243,184.6202926,179.4919511,179.6628958,4642068,1213920000,0.003824031,-4.102673200000001,0.0,-4.102673200000001,3.33342195,1.3675577330000002,70.90909075,165.8163739,189.23579990000002,59.12408741,63.88698446,56.57757951,78.50579436,,181.8509881799998,181.44072086800014,0.41026731199966093,1,-0.022325581567458896,0.022325581567458896
2462,2012/9/14,183.08179009999998,185.47501609999998,180.68856409999998,181.71423240000001,6164266,1213920000,0.005077984000000001,2.0513366000000004,2.0513366000000004,0.0,3.16247725,1.3675577330000002,69.81132070000001,165.8163739,189.23579990000002,67.88321157,65.21906017,59.45807307,76.74103437,,182.12449971999982,180.91421114400012,1.210288575999698,1,0.011417697521048265,0.011417697521048265
2463,2012/9/17,181.71423240000001,182.56895600000001,170.9447153,171.62849419999998,6333032,1213920000,0.005217009,-10.0857382,0.0,-10.0857382,1.595484017,3.0485141,34.35582825,165.8163739,189.23579990000002,24.81751816,51.7518795,56.88934188,41.47695474,,179.4919510999998,180.13470324000014,-0.64275214000034,-1,-0.05550329254231845,-0.05550329254231845
2464,2012/9/18,171.4575495,171.9703836,169.23526819999998,170.26093649999999,2257607,1213920000,0.0018597660000000001,-1.3675576999999999,0.0,-1.3675576999999999,0.854723583,3.276440383,20.68965527,167.6967658,189.23579990000002,11.90476178,38.46950693,50.74939689,13.90972699,,177.4064255799998,179.2389529320001,-1.8325273520003122,-1,-0.007968127357724009,0.007968127357724009
2465,2012/9/19,171.4575495,171.62849419999998,169.7481023,171.4575495,3344291,1213920000,0.002754952,1.196613,1.196613,0.0,1.054159083,2.592661517,28.906250099999998,169.23526819999998,189.23579990000002,11.11111111,29.35004165,43.61627848,0.817568003,,174.9448216799998,178.58252522400008,-3.6377035440002885,-1,0.00702811240557244,-0.00702811240557244
2466,2012/9/20,172.3122731,172.3122731,164.44881619999998,164.7907056,3721941,1213920000,0.0030660509999999998,-6.6668439,0.0,-6.6668439,0.541324933,3.703802167,12.75167788,164.44881619999998,189.23579990000002,1.379310222,20.02646451,35.75300716,-11.42662078,,171.9703836399998,177.7346394360001,-5.764255796000299,-1,-0.0388833499571275,0.0388833499571275
2467,2012/9/21,164.61976090000002,167.8677105,162.22653490000002,164.7907056,3195977,1213920000,0.002632774,0.0,0.0,0.0,0.541324933,3.0200232999999996,15.20000005,162.22653490000002,185.47501609999998,11.02941168,17.027446899999997,29.51115374,-7.939966778,,168.5856782799998,176.87307807200014,-8.287399792000343,-1,0.0,-0.0
2468,2012/9/24,164.61976090000002,168.2095999,161.542756,167.0129869,2674678,1213920000,0.00220334,2.2222812999999997,2.2222812999999997,0.0,0.569815717,3.0200232999999996,15.87301587,161.542756,185.47501609999998,22.85714294,18.97067891,25.99766213,4.91671248,,167.6625768199998,176.11408353600015,-8.451506716000353,-1,0.013485477180941174,-0.013485477180941174
2469,2012/9/25,166.15826330000002,166.84204219999998,163.4231479,165.4744845,2506182,1213920000,0.002064536,-1.5385024,0.0,-1.5385024,0.569815717,1.5954840000000001,26.31578955,161.542756,185.47501609999998,16.42857166,18.12330983,23.37287803,7.624173427000001,,166.70528641999982,175.04738851600013,-8.342102096000303,-1,-0.009211872852266212,0.009211872852266212
2470,2012/9/26,165.6454292,166.50015269999997,162.3974796,163.76503730000002,1579075,1213920000,0.001300806,-1.7094471999999998,0.0,-1.7094471999999998,0.569815717,1.6524655830000001,25.64102558,161.542756,185.47501609999998,9.285714307000001,15.17744465,20.6410669,4.250200155,,165.16678397999982,174.04223358800013,-8.87544960800031,-1,-0.010330578790834544,0.010330578790834544
2471,2012/9/27,164.9616503,175.2183332,164.9616503,172.9960519,6936498,1213920000,0.005714131,9.2310146,9.2310146,0.0,1.90888265,1.6524655830000001,53.59999991,161.542756,182.56895600000001,54.47154455,28.27547795,23.18587059,38.45469268,,166.80785323999982,173.20802337600014,-6.400170136000327,-1,0.05636743197566485,-0.05636743197566485
2472,2012/9/28,171.62849419999998,176.585891,170.4318812,175.9021121,5048213,1213920000,0.004158604000000001,2.9060602,2.9060602,0.0,2.393226017,0.541324933,81.55339803,161.542756,176.585891,95.45454521,50.66850037,32.34674718,87.31200675,,169.0301345399998,172.66783807600012,-3.6377035360003163,-1,0.01679841920138081,-0.01679841920138081
2473,2012/10/8,177.6115592,179.3210064,174.36360969999998,176.41494619999997,3818626,1213920000,0.0031456979999999997,0.5128341,0.5128341,0.0,2.478698367,0.541324933,82.07547163,161.542756,179.3210064,83.65384594,61.66361556,42.11903664,100.75277340000001,,170.9105263999998,172.6268113440001,-1.7162849440002788,-1,0.002915451633169752,-0.002915451633169752
2474,2012/10/9,175.9021121,184.6202926,175.9021121,182.56895600000001,7858541,1213920000,0.006473689,6.1540098,6.1540098,0.0,3.13398645,0.541324933,85.27131779999999,161.542756,184.6202926,91.11111105,71.47944739,51.90584023,110.62666170000001,,174.32942069999982,172.8729717360001,1.4564489639997191,1,0.03488372120706429,-0.03488372120706429
2475,2012/10/10,182.2270666,186.84257390000002,181.372343,184.7912373,5465018,1213920000,0.004501959,2.2222812999999997,2.2222812999999997,0.0,3.5043666669999998,0.284907867,92.48120282,161.542756,186.84257390000002,91.89189184,78.28359554,60.69842533,113.45393600000001,,178.5346606999998,173.4063192480001,5.128341451999688,1,0.012172284646246201,0.012172284646246201
2476,2012/10/11,184.6202926,187.69729740000002,177.9534487,178.80817230000002,7519983,1213920000,0.0061947930000000005,-5.983065,0.0,-5.983065,3.5043666669999998,0.9971774999999999,77.84810138,161.542756,187.69729740000002,66.01307221,74.1934211,65.19675725,92.18674878,,179.69708477999978,173.89864003200012,5.7984447479996675,1,-0.032377428104378936,-0.032377428104378936
2477,2012/10/12,178.80817230000002,182.56895600000001,175.0473885,180.0047853,5985681,1213920000,0.004930869,1.196613,1.196613,0.0,2.1652997330000003,0.9971774999999999,68.46846866,162.3974796,187.69729740000002,69.59459487,72.66047902,67.68466451,82.61210804,,180.51761941999976,174.3909608120001,6.126658607999673,1,0.006692160568546823,0.006692160568546823
