,time,O,H,L,C,volume,outstanding_share,turnover,diff,up,down,avg_up,avg_down,rsi,lowest,highest,RSV,K,D,J,predict,5d,25d,s-l,signal,market,strategy
463,2008/6/6,4.74760479,4.777844311,4.72744511,4.73752495,15220341,6493506000.0,0.002343933,-0.01007984,0.0,-0.01007984,0.01511976,0.020159681000000002,42.85714286,4.717365269,4.918962076000001,10.0,23.76490793,31.82580181,7.643120152000001,,4.785908183399998,4.9213812375199995,-0.1354730541200011,-1,-0.0021231421834502218,0.0021231421834502218
464,2008/6/10,4.626646707,4.626646707,4.3444111780000005,4.364570858,51099438,6493506000.0,0.007869314,-0.372954092,0.0,-0.372954092,0.01007984,0.082318696,10.90909091,4.3444111780000005,4.918962076000001,3.50877193,17.01286259,26.88815541,-2.737723032,,4.687125748199998,4.88388423152,-0.1967584833200018,-1,-0.07872340429573876,0.07872340429573876
465,2008/6/11,4.364570858,4.40489022,4.314171657,4.3444111780000005,29872352,6493506000.0,0.004600343,-0.020159681000000002,0.0,-0.020159681000000002,0.0,0.08567864300000001,0.0,4.314171657,4.918962076000001,5.0,13.00857506,22.26162863,-5.4975320629999995,,4.594391217399999,4.849209580839999,-0.2548183634400001,-1,-0.004618937498299114,0.004618937498299114
466,2008/6/12,4.3444111780000005,4.374650699,4.1730538919999995,4.233532933999999,33032783,6493506000.0,0.005087049000000001,-0.110878244,0.0,-0.110878244,0.0,0.095758483,0.0,4.1730538919999995,4.918962076000001,8.108108108,11.37508608,18.63278111,-3.140303986,,4.485528941999999,4.8169540918,-0.33142514980000026,-1,-0.02552204187335816,0.02552204187335816
467,2008/6/13,4.253692615,4.273852295,4.193213573,4.223453094,28276947,6493506000.0,0.00435465,-0.01007984,0.0,-0.01007984,0.0,0.09239853599999999,0.0,4.1730538919999995,4.918962076000001,6.756756757000001,9.835642971,15.70040173,-1.893874548,,4.380698602799999,4.78187624748,-0.4011776446800006,-1,-0.0023809523055902115,0.0023809523055902115
468,2008/6/16,4.233532933999999,4.294011976,4.152894212,4.223453094,26384920,6493506000.0,0.004063278,0.0,0.0,0.0,0.0,0.087358616,0.0,4.152894212,4.888722555,9.589041096,9.753442346,13.71808194,1.8241631669999998,,4.277884231599999,4.74921756484,-0.4713333332400014,-1,0.0,-0.0
469,2008/6/17,4.233532933999999,4.283932136000001,4.162974052,4.203293413,24827462,6493506000.0,0.003823429,-0.020159681000000002,0.0,-0.020159681000000002,0.0,0.089038589,0.0,4.152894212,4.838323353,7.352941176,8.953275289,12.12981305,2.600199762,,4.245628742599999,4.71534930136,-0.46972055876000063,-1,-0.004773269775066202,0.004773269775066202
470,2008/6/18,4.193213573,4.364570858,4.1327345310000005,4.334331337,39928585,6493506000.0,0.006149003,0.131037924,0.131037924,0.0,0.021839654,0.026879574,44.82758621,4.1327345310000005,4.8080838319999994,29.85074627,15.91909895,13.39290835,20.97148014,,4.243612774399999,4.68954491012,-0.44593213572000145,-1,0.03117505991723646,-0.03117505991723646
471,2008/6/19,4.334331337,4.334331337,4.072255489,4.082335329,30539190,6493506000.0,0.004703036,-0.251996008,0.0,-0.251996008,0.021839654,0.065518962,25.0,4.072255489,4.777844311,1.428571429,11.08892311,12.62491327,8.016942785,,4.213373253399999,4.64962874244,-0.43625548904000144,-1,-0.05813953489176915,0.05813953489176915
472,2008/6/20,4.10249501,4.394810379,4.052095808,4.233532933999999,49377968,6493506000.0,0.007604208,0.151197605,0.151197605,0.0,0.047039255,0.047039255,50.0,4.052095808,4.626646707,31.57894737,17.9189312,14.38958591,24.97762176,,4.215389221399999,4.61777644704,-0.40238722564000096,-1,0.03703703709147188,-0.03703703709147188
473,2008/6/23,4.193213573,4.253692615,4.152894212,4.203293413,16969897,6493506000.0,0.002613364,-0.030239521000000002,0.0,-0.030239521000000002,0.047039255,0.050399202000000004,48.27586207,4.052095808,4.40489022,42.85714286,26.23166842,18.33694675,42.02111175,,4.211357285199999,4.58592415164,-0.37456686644000037,-1,-0.007142857152980242,0.007142857152980242
